Reactor-length Experimental-results Non-adiabatic-reflective-wall Adiabatic-reflective-wall
cm C C C
32.43 26.15 24.85 287.65
32.499 26.15 24.75 277.15
32.568 26.05 24.75 266.85
32.637 25.95 24.65 256.85
32.706 25.85 24.55 247.05
32.775 25.75 24.55 237.35
32.844 25.75 24.45 227.65
32.913 25.65 24.35 218.35
32.982 25.55 24.35 209.25
33.051 25.45 24.25 200.15
33.12 25.35 24.15 191.15
33.189 25.25 24.05 182.25
33.258 25.05 23.95 173.55
33.327 24.95 23.85 164.75
33.396 24.85 23.75 155.95
33.465 24.65 23.65 147.25
33.534 24.45 23.55 138.65
33.603 24.35 23.35 130.05
33.672 24.15 23.25 121.45
33.741 23.95 23.05 113.05
33.81 23.65 22.95 104.95
33.879 23.45 22.75 96.85
33.948 23.25 22.55 88.95
34.017 23.05 22.35 81.85
34.086 22.75 22.25 75.05
34.155 22.55 22.05 68.45
34.224 22.35 21.85 62.55
34.293 22.15 21.75 58.05
34.362 22.05 21.55 54.05
34.431 21.85 21.45 50.35
34.5 21.75 21.35 46.65
