Raman shift	Spent	Raman shift	Fresh
cm^-1		cm^-1	
974.126	24.0714285714286	974.126	21.7857142857143
978.846	22.4285714285714	978.846	16.8285714285714
983.565	22.1285714285714	983.565	18.9714285714286
988.283	24.9571428571429	988.283	19.8857142857143
992.999	22.9428571428571	992.999	21.2857142857143
997.713	22.7285714285714	997.713	17.2857142857143
1002.43	22.9285714285714	1002.43	21.8571428571429
1007.14	26.2142857142857	1007.14	20.2
1011.85	21.3285714285714	1011.85	20.1571428571429
1016.56	23.2285714285714	1016.56	19.1
1021.26	25.9142857142857	1021.26	20.8285714285714
1025.97	28.8571428571429	1025.97	18.5
1030.67	26.2	1030.67	18.6571428571429
1035.37	28.8857142857143	1035.37	21.7142857142857
1040.07	25.4857142857143	1040.07	20.8142857142857
1044.77	22.6	1044.77	18.2428571428571
1049.47	21.1142857142857	1049.47	20.5
1054.17	27.2285714285714	1054.17	25.3142857142857
1058.86	27.2714285714286	1058.86	23.1142857142857
1063.56	22.4571428571429	1063.56	18.7
1068.24	21.7142857142857	1068.24	22.5142857142857
1072.94	25.1142857142857	1072.94	25.5571428571429
1077.62	28.4857142857143	1077.62	23.0285714285714
1082.31	23.6714285714286	1082.31	19.5571428571429
1087	25.3571428571429	1087	23.3285714285714
1091.68	26.4285714285714	1091.68	23.2142857142857
1096.36	28.2	1096.36	20.6142857142857
1101.05	24.1142857142857	1101.05	17.7714285714286
1105.73	25.9285714285714	1105.73	23.9142857142857
1110.4	28.9	1110.4	23.4428571428571
1115.08	28.5	1115.08	21.4428571428571
1119.76	24.6857142857143	1119.76	22.6
1124.43	26.4142857142857	1124.43	26.4428571428571
1129.1	28.4285714285714	1129.1	24.8571428571429
1133.77	25.0428571428571	1133.77	21.4
1138.44	22.8285714285714	1138.44	25.6428571428571
1143.11	27.0857142857143	1143.11	23.6857142857143
1147.77	27.1285714285714	1147.77	21.1571428571429
1152.44	25.6857142857143	1152.44	18.6571428571429
1157.1	24.7857142857143	1157.1	23.7714285714286
1161.76	30.4142857142857	1161.76	24.0285714285714
1166.42	28.7714285714286	1166.42	19.9714285714286
1171.08	31.8285714285714	1171.08	20.5714285714286
1175.74	30.4	1175.74	21.3857142857143
1180.39	31	1180.39	21.1142857142857
1185.05	26.9142857142857	1185.05	18.9142857142857
1189.7	29.4	1189.7	25.0428571428571
1194.35	28.3571428571429	1194.35	23.9285714285714
1199	26.6142857142857	1199	15.1428571428571
1203.65	25.5285714285714	1203.65	14.7142857142857
1208.3	31.4	1208.3	21.1
1212.94	32.9285714285714	1212.94	24.5571428571429
1217.58	29.4	1217.58	17.5714285714286
1222.23	30.3	1222.23	20.1428571428571
1226.87	33.2	1226.87	23.2571428571429
1231.51	32.1857142857143	1231.51	24.2857142857143
1236.14	27.3714285714286	1236.14	18.2571428571429
1240.78	31.4714285714286	1240.78	20.1571428571429
1245.42	32.1714285714286	1245.42	20.9857142857143
1250.05	28.5714285714286	1250.05	20
1254.68	27.0285714285714	1254.68	20.4285714285714
1259.31	33.9	1259.31	22.2285714285714
1263.94	34.8857142857143	1263.94	23.7285714285714
1268.57	30.7857142857143	1268.57	19.4285714285714
1273.19	29.0285714285714	1273.19	20.7142857142857
1277.82	33.4285714285714	1277.82	20.5571428571429
1282.44	32.1285714285714	1282.44	23.1
1287.06	30.6	1287.06	23.2857142857143
1291.68	33.7428571428571	1291.68	24.8571428571429
1296.3	36.0857142857143	1296.3	22.7428571428571
