Reactor-length Temperature-100mlmin Temperature-200mlmin Temperature-400mlmin Temperature-600mlmin Temperature-800mlmin
cm  K K K K K
23.322 85.25 93.15 110.55 129.95 150.65
23.391 82.45 90.05 106.85 125.65 145.85
23.46 79.85 87.25 103.55 121.85 141.55
23.529 77.55 84.65 100.45 118.15 137.35
23.598 75.45 82.35 97.65 114.85 133.55
23.667 73.45 80.05 94.95 111.65 129.95
23.736 71.45 77.95 92.35 108.65 126.55
23.805 69.65 75.95 89.85 105.75 123.15
23.874 67.95 74.05 87.55 102.95 119.95
23.943 66.35 72.25 85.45 100.45 117.05
24.012 64.85 70.55 83.45 98.05 114.25
24.081 63.35 68.95 81.45 95.65 111.45
24.15 62.05 67.45 79.65 93.45 108.85
24.219 60.85 66.05 77.85 91.45 106.45
24.288 59.65 64.65 76.15 89.45 104.15
24.357 58.45 63.35 74.55 87.45 101.85
24.426 57.35 62.15 73.05 85.65 99.65
24.495 56.35 60.95 71.55 83.85 97.65
24.564 55.35 59.75 70.05 82.15 95.55
24.633 54.35 58.65 68.75 80.45 93.65
24.702 53.55 57.65 67.45 78.95 91.85
24.771 52.65 56.65 66.25 77.45 90.05
24.84 51.85 55.75 64.95 75.95 88.35
24.909 51.05 54.85 63.85 74.55 86.65
24.978 50.35 53.95 62.75 73.25 85.05
25.047 49.65 53.15 61.65 71.85 83.45
25.116 48.95 52.25 60.55 70.55 81.95
25.185 48.25 51.55 59.55 69.35 80.55
25.254 47.65 50.75 58.65 68.15 79.15
25.323 47.05 50.05 57.65 67.05 77.75
25.392 46.45 49.35 56.75 65.85 76.35
25.461 45.95 48.75 55.85 64.75 75.05
25.53 45.35 48.15 55.05 63.75 73.85
25.599 44.85 47.55 54.25 62.75 72.65
25.668 44.35 46.95 53.45 61.75 71.45
25.737 43.95 46.35 52.75 60.85 70.35
25.806 43.45 45.85 51.95 59.95 69.25
25.875 43.05 45.35 51.35 59.05 68.15
25.944 42.55 44.85 50.65 58.15 67.15
26.013 42.15 44.35 49.95 57.35 66.15
26.082 41.75 43.85 49.35 56.45 65.15
26.151 41.35 43.35 48.75 55.75 64.15
26.22 41.05 42.95 48.15 54.95 63.25
26.289 40.65 42.55 47.55 54.25 62.35
26.358 40.25 42.05 46.95 53.45 61.35
26.427 39.95 41.75 46.45 52.75 60.55
26.496 39.65 41.35 45.95 52.15 59.75
26.565 39.25 40.95 45.35 51.45 58.85
26.634 38.95 40.55 44.85 50.75 58.15
26.703 38.65 40.25 44.45 50.15 57.35
26.772 38.35 39.85 43.95 49.55 56.65
26.841 38.05 39.55 43.55 48.95 55.85
26.91 37.75 39.25 43.05 48.45 55.15
26.979 37.55 38.95 42.65 47.85 54.45
27.048 37.25 38.65 42.25 47.35 53.85
27.117 36.95 38.25 41.85 46.85 53.15
27.186 36.75 38.05 41.45 46.35 52.45
27.255 36.45 37.75 41.05 45.85 51.85
27.324 36.25 37.45 40.75 45.35 51.25
27.393 35.95 37.15 40.35 44.85 50.65
27.462 35.75 36.95 40.05 44.45 50.15
27.531 35.45 36.65 39.65 43.95 49.55
27.6 35.25 36.35 39.35 43.55 48.95
27.669 35.05 36.15 39.05 43.15 48.45
27.738 34.85 35.95 38.75 42.65 47.95
27.807 34.65 35.65 38.45 42.25 47.45
27.876 34.45 35.45 38.15 41.85 46.95
27.945 34.15 35.15 37.85 41.55 46.45
28.014 33.95 34.95 37.55 41.15 45.95
28.083 33.85 34.75 37.25 40.75 45.45
28.152 33.65 34.55 36.95 40.45 45.05
28.221 33.45 34.35 36.75 40.05 44.65
28.29 33.25 34.15 36.45 39.75 44.15
28.359 33.05 33.95 36.25 39.45 43.75
28.428 32.85 33.75 35.95 39.05 43.35
28.497 32.65 33.55 35.75 38.75 42.95
28.566 32.55 33.35 35.45 38.45 42.55
28.635 32.35 33.15 35.25 38.15 42.15
28.704 32.15 32.95 35.05 37.85 41.75
28.773 32.05 32.75 34.75 37.55 41.45
28.842 31.85 32.65 34.55 37.35 41.05
28.911 31.65 32.45 34.35 37.05 40.75
28.98 31.55 32.25 34.15 36.75 40.35
29.049 31.35 32.15 33.95 36.55 40.05
